opcode frequency
PUSH 12068363
DUP 7879183
SWAP 5543087
POP 4101173
ADD 2425409
JUMPDEST 1924537
MSTORE 1515109
STOP 1403549
JUMPI 1158264
JUMP 1044077
SLOAD 1013855
AND 954127
MLOAD 925853
ISZERO 919482
SUB 762444
SSTORE 571414
SHA 469107
EXP 464622
EQ 450421
MUL 350136
DIV 348528
LT 307695
CALLDATALOAD 275569
CALLER 183362
GT 180579
