opcode contracts
RETURN 19366
DUP 19366
CODECOPY 19366
PUSH 19366
MSTORE 19362
JUMPDEST 19309
JUMPI 19293
SWAP 19264
STOP 19215
DIV 19142
JUMP 19122
POP 18992
SUB 18828
EXP 18816
SSTORE 18815
AND 18737
ISZERO 18613
MLOAD 18482
ADD 18449
MUL 17665
EQ 16796
CALLDATALOAD 16776
SLOAD 16455
NOT 15716
CALLER 15614
