Frequency, Chain
56, SWAP1 JUMPDEST JUMPDEST
54, SWAP1 JUMPDEST POP DUP1 POP SWAP1 SLOAD POP
54, SSTORE SWAP1 ADD CALLVALUE SLOAD DUP1 SHA3 SWAP1
52, POP POP POP POP POP POP POP JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
48, DUP6 POP SWAP1 POP
48, DUP3 SWAP1 AND SWAP2 SWAP1 SWAP2 SUB EXP
48, DUP2 POP SWAP1 SLOAD ADD SHA3 SWAP1
47, LOG1 SWAP1
47, POP JUMPDEST JUMPDEST POP SSTORE SWAP1 DUP2 POP
46, POP POP POP POP POP SWAP5 SWAP6 SWAP2 POP JUMPDEST
46, JUMPDEST JUMPDEST JUMPDEST
46, POP SWAP1 SWAP2 POP JUMPDEST POP SWAP2
46, POP JUMPDEST SSTORE SWAP1 OR
46, POP POP POP POP POP POP POP POP POP POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
45, POP POP POP POP JUMPDEST JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
45, DUP2 POP SWAP1 SLOAD POP
44, POP JUMPDEST POP POP JUMPDEST
43, JUMPDEST SSTORE SWAP1 OR EXP
42, POP JUMPDEST POP POP ADD
42, SWAP1 JUMPDEST ISZERO LT SLOAD
42, DUP3 POP SWAP1 SLOAD POP
41, POP SWAP1 SWAP2 JUMPDEST AND
41, POP JUMPDEST JUMPDEST JUMPDEST
41, DUP4 POP SWAP1 AND
40, POP POP SWAP2 SWAP3 POP POP JUMPDEST
40, POP POP POP SWAP3 SWAP4 POP JUMPDEST POP SWAP2
39, POP LOG2 SWAP1
38, POP JUMPDEST SSTORE SWAP1 DUP2
37, SWAP1 AND SWAP2 SWAP1 SWAP2
37, SWAP8 SWAP7 SWAP6 SWAP5 SWAP4 SWAP3 SWAP2 SWAP1 POP SWAP1 AND DIV SWAP2 SWAP1 EXP
37, POP POP POP POP POP POP POP SSTORE SWAP1 OR AND NOT
37, SSTORE SWAP1 OR AND NOT
36, POP POP POP LOG2 SWAP1
36, DUP5 POP SWAP1 SLOAD POP
36, SSTORE SWAP1 AND NOT
36, POP POP POP JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
35, POP SWAP1 SWAP2 POP JUMPDEST JUMPDEST
35, POP POP POP POP POP POP POP JUMPDEST
35, POP POP SSTORE SWAP1 OR DUP4 AND NOT SUB EXP
35, POP LOG3 SWAP1
35, POP POP POP POP POP JUMPDEST SSTORE SWAP1 OR
35, POP POP POP SWAP3 SWAP4 POP POP JUMPDEST POP SWAP3
35, POP POP SWAP2 SWAP3 POP POP POP POP JUMPDEST JUMPDEST JUMPDEST
34, SSTORE SWAP1 ADD CALLVALUE SLOAD DUP1 SHA3
34, POP SWAP1 SWAP2 JUMPDEST SLOAD SHA3 SWAP1
34, POP JUMPDEST POP SSTORE SWAP1 DUP2 POP POP SWAP3 ADD SLOAD POP DUP3 DUP3 DUP3
34, JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
33, POP POP POP JUMPDEST JUMPDEST POP SSTORE SWAP1 DUP2 POP
33, POP JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
33, POP POP POP POP POP POP POP POP POP POP JUMPDEST SSTORE SWAP1 ADD
33, POP POP POP LOG1 SWAP1 ADD
32, SWAP1 POP JUMPDEST POP SWAP2
32, POP SWAP1 SWAP2 JUMPDEST POP SWAP1 EQ AND SUB EXP
32, POP POP POP POP SWAP4 SWAP5 MLOAD MLOAD
32, SWAP1 POP JUMPDEST JUMPDEST
31, POP POP POP POP POP JUMPDEST
31, POP POP POP POP JUMPDEST POP SSTORE SWAP1 DUP2 POP
31, POP SWAP1 SWAP2 POP POP POP JUMPDEST JUMPDEST JUMPDEST POP SSTORE SWAP1 DUP2 POP POP SWAP3 OR SLOAD POP DUP3 DUP3 DUP3
31, POP POP POP POP POP POP JUMPDEST
31, POP POP POP POP JUMPDEST JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
31, POP POP SWAP2 SWAP3 POP POP POP JUMPDEST
31, JUMPDEST POP POP LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
31, POP POP POP JUMPDEST POP JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
31, POP POP POP JUMPDEST JUMPDEST POP POP POP
31, POP POP POP POP POP POP
31, POP POP JUMPDEST POP JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
30, SWAP1 POP POP JUMPDEST
30, POP POP JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
30, POP POP JUMPDEST POP JUMPDEST JUMPDEST
30, JUMPDEST SUICIDE
30, POP POP POP POP POP POP POP POP JUMPDEST
30, POP SWAP1 SWAP2 POP JUMPDEST POP SWAP2 DUP1 JUMPDEST
30, DUP4 POP SWAP1 SLOAD POP
30, POP LOG2 SWAP1 SWAP2 MSTORE SWAP2 MLOAD DUP2 CODECOPY DUP4
30, POP JUMPDEST JUMPDEST SUICIDE AND
30, POP POP POP POP POP POP POP
29, POP POP POP POP SWAP4 SWAP5 JUMPDEST JUMPDEST JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
29, POP JUMPDEST POP JUMPDEST POP SSTORE SWAP1 DUP2 POP
29, JUMPDEST POP JUMPDEST POP SSTORE SWAP1 DUP2 POP
29, POP JUMPDEST POP JUMPDEST SUICIDE AND
29, POP SWAP1 SWAP2 JUMPDEST AND SUB EXP
29, POP POP POP SWAP3 SWAP4 POP POP POP POP POP JUMPDEST
29, POP POP JUMPDEST POP POP POP
29, DUP3 ADD
29, POP SWAP1 SWAP2 JUMPDEST POP JUMPDEST JUMPDEST
29, POP POP SWAP2 SWAP3 POP POP POP JUMPDEST JUMPDEST
28, POP POP SWAP2 SWAP3 JUMPDEST JUMPDEST
28, SWAP1 POP POP SWAP2 MLOAD MLOAD
28, POP POP SWAP2 SWAP3 POP POP JUMPDEST POP SWAP3
28, DUP5 POP SWAP1 AND
27, POP JUMPDEST
27, POP POP POP SWAP3 SWAP4 POP JUMPDEST
27, POP POP JUMPDEST POP SSTORE SWAP1 DUP2 POP POP SWAP3 ADD SLOAD POP DUP3 DUP3 DUP3
27, POP POP POP POP POP SSTORE
27, POP POP POP JUMPDEST JUMPDEST JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
27, SWAP7 SWAP6 SWAP5 SWAP4 SWAP3 SWAP2 SWAP1 POP DUP1 POP SWAP1 AND
27, POP SWAP1 SWAP2 POP SWAP1 POP POP POP POP POP JUMPDEST SWAP2 ADD DUP3 AND
26, POP POP JUMPDEST POP SSTORE SWAP1 DUP2 POP
26, DUP2 POP SWAP1 AND
26, DUP2 SWAP1
26, POP POP JUMPDEST JUMPDEST JUMPDEST POP POP POP POP POP SWAP4 CALL DUP9 DUP9 DUP6 DUP2 SUB DUP4 DUP1 MLOAD
26, POP POP POP POP JUMPDEST JUMPDEST
25, POP POP SWAP2 SWAP3 POP POP POP POP POP JUMPDEST
25, DUP7 POP SWAP1 AND
25, POP JUMPDEST POP POP POP
25, POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3
25, POP POP JUMPDEST SSTORE
24, POP POP LOG1 SWAP1 ADD
24, POP POP SWAP2 SWAP3 JUMPDEST SLOAD ADD
24, POP POP POP JUMPDEST POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP1 CALLVALUE SWAP1 DUP3 SWAP1 AND CALLER SUB EXP
24, JUMPDEST POP SSTORE SWAP1 DUP2
24, POP POP POP POP POP SWAP5 SWAP6 SWAP1 POP JUMPDEST
24, POP SSTORE SWAP1 AND NOT
24, POP POP JUMPDEST POP SSTORE SWAP1 DUP2 SHA3
24, LOG2 SWAP1
23, DUP6 POP SWAP1 AND
23, POP POP POP SWAP3 SWAP4 ADD DIV MUL DUP2 DIV SWAP1 DUP2 SWAP1 EXP
23, DUP2 SLOAD ADD MSTORE SWAP2 MLOAD DUP2 CODECOPY DUP4
23, SWAP1 POP SWAP1 POP POP POP POP POP JUMPDEST
23, SWAP7 SWAP6 SWAP5 SWAP4 SWAP3 SWAP2 SWAP1 JUMPDEST POP DUP1 POP SWAP1 AND
23, Missing STOP
23, POP POP POP POP POP SWAP5 SWAP6
23, JUMPDEST RETURN SWAP1
23, POP SWAP1 SWAP2 JUMPDEST SLOAD ADD
22, SWAP1 JUMPDEST POP DUP1 POP SWAP1 AND
22, POP POP POP POP POP POP SWAP6 SWAP7 SWAP3 POP JUMPDEST
22, DUP4 AND SUB EXP
22, POP POP POP POP JUMPDEST SSTORE SWAP1 DUP2
22, JUMPDEST POP POP POP POP
22, POP JUMPDEST POP POP POP POP
22, POP LOG1 SWAP1 ADD
22, POP POP LOG3 SWAP1
22, POP POP LOG2 SWAP1
22, DUP5 AND
21, POP POP POP JUMPDEST POP POP POP POP POP SWAP4 CALL DUP9 DUP9 DUP6 DUP2 SUB DUP4 DUP1 MLOAD
21, POP POP SWAP2 SWAP3 POP POP SSTORE SWAP1 DUP2 POP
21, POP POP POP POP POP SWAP5
21, POP POP POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3
21, POP POP POP POP SWAP4 SWAP5 POP SSTORE
21, POP POP POP POP POP SWAP5 SWAP6 POP POP POP JUMPDEST SSTORE SWAP1 ADD
21, POP POP SWAP2 SWAP3 POP POP POP JUMPDEST POP SWAP4 DUP1 LOG3 SWAP1 SWAP2
21, POP POP POP POP POP SWAP5 SWAP6 JUMPDEST POP SWAP1
21, POP JUMPDEST POP POP POP SSTORE
21, POP POP POP POP LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
20, POP POP JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
20, POP POP SWAP2 SWAP3 JUMPDEST POP LOG1 SWAP1 ADD
20, JUMPDEST JUMPDEST JUMPDEST JUMPDEST POP SSTORE SWAP1 DUP2 POP
20, POP POP POP JUMPDEST POP POP POP
20, POP POP POP POP POP SWAP5 SWAP6 MLOAD MLOAD
20, JUMPDEST SSTORE
19, POP POP POP POP POP POP JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
19, POP POP POP JUMPDEST POP JUMPDEST LOG2
19, POP JUMPDEST SUICIDE AND
19, POP JUMPDEST POP JUMPDEST LOG2
19, SSTORE ADD SWAP2 SWAP1 SWAP2
19, POP SWAP1 SWAP2 JUMPDEST POP POP POP POP SWAP4 SHA3 SWAP2 SWAP1 POP CALL
19, POP JUMPDEST JUMPDEST LOG2
19, JUMPDEST SSTORE SWAP1 AND NOT SUB EXP
19, POP POP POP POP POP POP JUMPDEST LOG1 SWAP1 ADD
19, JUMPDEST LOG1 SWAP1 ADD
18, POP POP POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP1 BALANCE AND ADDRESS SWAP2
18, POP POP POP JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
18, POP JUMPDEST POP JUMPDEST
18, JUMPDEST RETURN SWAP1 ADD
18, POP POP SWAP2 POP SWAP4 POP SWAP6 SWAP1 POP SWAP8 SWAP3 SWAP9 SWAP1 MLOAD ADD SWAP3 SWAP1 SWAP3
18, SWAP6 SWAP5 SWAP4 SWAP3 SWAP2 SWAP1 JUMPDEST SWAP2 SWAP1 SWAP3 AND SUB EXP
18, POP POP POP POP POP POP POP POP POP
18, POP POP POP JUMPDEST POP SSTORE SWAP1 DUP2 ADD JUMPDEST STOP
18, POP JUMPDEST LOG3 SWAP1 SUB SWAP2 DUP1 MLOAD
