Contract ID, Instructions, Jumps, Unprocessed Jumps, UJ/I, UJ/J,698.2957566,28.87653374,4.67446319,0.006866071,0.142822481
0x6fdad584846be6b1ab7d1eedb1c3e4bf5d86f5e1,141,7,1,0.007092,0.142857,,,,,
0xf6ed6e73a8109ef79baec6389654233455f510cf,16,0,0,0,0,,,,,
0x71a8b2afc5b72c01983b638f7151b63b5731e356,265,12,2,0.007547,0.166667,,,,,
0xaa6bde0e945b44951f8a53b96a159cc334d36bb2,255,10,2,0.007843,0.2,,,,,
0x9255ba5273b02a8d3191747d745ad95e4d057f49,265,12,2,0.007547,0.166667,,,,,
0x97e34f18e7188778bdd22b1e1f740c06b1ad5062,750,42,9,0.012,0.214286,,,,,
0x302546d85126b7450b83858dad203af57fac1904,114,8,2,0.017544,0.25,,,,,
0xa43d2b0aad0aebf2a06be7b6d344f82dda2406a8,814,38,9,0.011057,0.236842,,,,,
0x1414de7662d7c696e9db0b57e264962eb497073e,2766,149,21,0.007592,0.14094,,,,,
0xb0533d8a5dd60882a08905b71201781cc5875390,1038,44,10,0.009634,0.227273,,,,,
0xe0b159eb09e1d439bc53a48d02f767af1ea682d7,344,14,2,0.005814,0.142857,,,,,
0xb17f9251125f61a10d635a63272d2bab88af294f,106,10,2,0.018868,0.2,,,,,
0x02d8b181ebd7dd5e7fe69cf101dcfb7d26322115,298,19,5,0.016779,0.263158,,,,,
0x2935aa0a2d2fbb791622c29eb1c117b65b7a9085,7832,246,23,0.002937,0.093496,,,,,
0x27fd4b19cb8376d219661b0f20eafba34d39cc5e,814,38,9,0.011057,0.236842,,,,,
0x8278870e806b5ca63633c8ac0139238dcd22a0d6,106,10,2,0.018868,0.2,,,,,
0xb2d7f8fda0c194f8ebcbcba97e17e2241d9c6743,2756,151,22,0.007983,0.145695,,,,,
0xafed14dabd2abd98744842deda6b52977c22de5a,394,23,6,0.015228,0.26087,,,,,
0x28186154ab56537841efc6dc560236d625ca3622,248,16,4,0.016129,0.25,,,,,
0xa15f384cf109064cacef5dda8edcaa029f38e209,255,10,2,0.007843,0.2,,,,,
0x074ddd35cdfbe7189177c8dbbc0b0c680db70a81,4528,207,18,0.003975,0.086957,,,,,
0x5d30ef988cd50c6d4634008e632af8e077b94058,265,12,2,0.007547,0.166667,,,,,
0x8dd416f90c4a3da8e9c80037dad7025d9d72d358,249,15,4,0.016064,0.266667,,,,,
0x6c9d0afd822c324aa0b0256e9d0879e7fb0dcec3,427,13,0,0,0,,,,,
0x73b0ba1c2e1286081dfbac08bcb54b56e5c9a3bb,237,9,1,0.004219,0.111111,,,,,
0x84de2b14014d96df07bfef8792ff85ba929c8656,60,5,1,0.016667,0.2,,,,,
0xfc4cd838576b7daf7fc8c6961e50d937fed13bb6,255,10,2,0.007843,0.2,,,,,
0x46e1e72a2a9d0f724adc17dc6b2e1cf1f8c3d86f,493,26,5,0.010142,0.192308,,,,,
0xb04a047e690e9864bfdc45b1504cb1da73f0f633,141,7,1,0.007092,0.142857,,,,,
0x67b0daefc2b124cfdb1e52815efa89a84a097be8,1324,48,6,0.004532,0.125,,,,,
0x078df6a361e48adc27a83c17e13a308dec346bbf,797,31,6,0.007528,0.193548,,,,,
0x6e146dc6fd2c5a7308dbe65a57e38df154db7b28,569,14,3,0.005272,0.214286,,,,,
0x47071214d1ef76eeb26e9ac3ec6cc965ab8eb75b,255,10,2,0.007843,0.2,,,,,
0xc45da2f9e5aa77e71fd4babc5b3556ecedf393b5,1788,89,15,0.008389,0.168539,,,,,
0x67b1e40d8e5c28b155e7fa9f7469fa03c693f74d,1343,46,9,0.006701,0.195652,,,,,
0xfd5ff05cb15b2e8cddd0e96912a5dee8044b9374,814,38,9,0.011057,0.236842,,,,,
0xf5d2aed0588d62f5b5df07bd9ad05f5d738d9533,19,1,0,0,0,,,,,
0xef550c2f1f8848d5d0d2466b9b0867c5d5ff98bc,105,9,2,0.019048,0.222222,,,,,
0x8c953fbd2da5057f44c8b0732e476d0276984534,298,19,5,0.016779,0.263158,,,,,
0x759ad41608dded2e704cc370ede5279d24239a87,64,5,1,0.015625,0.2,,,,,
0x548196cc048b1bb55a38859eb7b73261fe43c984,5720,292,21,0.003671,0.071918,,,,,
0x94f6584bb08a737f6ed44da8bc18a05da3e90acc,73,4,1,0.013699,0.25,,,,,
0xf9da1908cc2280578b2639e3a4576dc77624868b,814,38,9,0.011057,0.236842,,,,,
0x5954f55a00cb1bbb5f2fc9ef29b2983eabff93b8,63,6,1,0.015873,0.166667,,,,,
0xd9c44f093825b4bac7ced2208acbcbe9fb73ea24,2083,81,14,0.006721,0.17284,,,,,
0xfedd20ef3e0e8b25b169ce78caefb65393eca440,255,10,2,0.007843,0.2,,,,,
0x12a595641d8bd57abd0538dcc2e69518a4a3aeae,265,12,2,0.007547,0.166667,,,,,
0x3eababa295ed709390721c90863f0562cd451444,114,8,2,0.017544,0.25,,,,,
0xb7d2683b59b6316dfc52b9d39bfc8f413b52be59,106,10,2,0.018868,0.2,,,,,
0x1d4dad868292bfe796dc7bfa364ef1eef07ed061,814,38,9,0.011057,0.236842,,,,,
0xfef1f3d23055e39b85eefc2f37864ccf5b92cad3,64,5,2,0.03125,0.4,,,,,
0x52c6b42c37818ee7d562b52396685710b19801ec,814,38,9,0.011057,0.236842,,,,,
0x2c62c7b5fd245fa08cb8bd2fff4417eb3efe2aae,1638,64,14,0.008547,0.21875,,,,,
0xadd1a267057309c917e1ac794050201378e13b0d,255,10,2,0.007843,0.2,,,,,
